year,name,slug,locationCode,shapeClass,shapeLabel,baseToCoreRatio,childrenShare,workingAgeShare,olderShare,incomeGroup,incomeGroupCode,worldBankCode,maleToFemale20to49,femaleToMale65Plus,workingAgeBulgeShare,youthBulgeShare,interestingTags,interestingTagLabels,notchedCohorts,maleDentCohorts,population,imagePath,pageUrl,dataUrl,imageUrl
2026,New Caledonia,new-caledonia,540,bullet-column,Bullet / column,1.009,20.87,66.98,12.15,High income,HIC,NCL,0.974,1.147,41.71,21.13,,,,,297893,/population-pyramids/2026/bullet-column/new-caledonia.png,https://www.populationpyramid.net/new-caledonia/2026/,https://www.populationpyramid.net/api/pp/540/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnew-caledonia%2F2026%2F%3Fshare%3Dtrue
2026,New Zealand,new-zealand,554,bullet-column,Bullet / column,0.884,17.64,64.32,18.04,High income,HIC,NZL,1.022,1.137,39.62,19.37,,,,,5287479,/population-pyramids/2026/bullet-column/new-zealand.png,https://www.populationpyramid.net/new-zealand/2026/,https://www.populationpyramid.net/api/pp/554/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnew-zealand%2F2026%2F%3Fshare%3Dtrue
2026,Nicaragua,nicaragua,558,high-growth-pyramid,High-growth pyramid,1.267,27.87,66.26,5.87,Lower middle income,LMC,NIC,0.978,1.399,45.49,26.69,,,,,7097329,/population-pyramids/2026/high-growth-pyramid/nicaragua.png,https://www.populationpyramid.net/nicaragua/2026/,https://www.populationpyramid.net/api/pp/558/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnicaragua%2F2026%2F%3Fshare%3Dtrue
2026,Niger,niger,562,high-growth-pyramid,High-growth pyramid,3.091,45.84,51.52,2.64,Low income,LIC,NER,1.043,1.126,34.05,28.19,world-bank-fcv-fy2027; youth-bulge; very-young-population,World Bank Public FCV list (FY2027); Youth bulge; Very young population,,,28814878,/population-pyramids/2026/high-growth-pyramid/niger.png,https://www.populationpyramid.net/niger/2026/,https://www.populationpyramid.net/api/pp/562/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fniger%2F2026%2F%3Fshare%3Dtrue
2026,Nigeria,nigeria,566,high-growth-pyramid,High-growth pyramid,2.353,40.02,56.89,3.09,Lower middle income,LMC,NGA,1.033,1.102,38.13,28.96,world-bank-fcv-fy2027; youth-bulge; very-young-population,World Bank Public FCV list (FY2027); Youth bulge; Very young population,,,242431832,/population-pyramids/2026/high-growth-pyramid/nigeria.png,https://www.populationpyramid.net/nigeria/2026/,https://www.populationpyramid.net/api/pp/566/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnigeria%2F2026%2F%3Fshare%3Dtrue
2026,Norway,norway,578,low-growth-constrictive,Low-growth / constrictive,0.783,15.68,64.91,19.41,High income,HIC,NOR,1.046,1.107,39.62,18.86,,,,,5652988,/population-pyramids/2026/low-growth-constrictive/norway.png,https://www.populationpyramid.net/norway/2026/,https://www.populationpyramid.net/api/pp/578/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fnorway%2F2026%2F%3Fshare%3Dtrue
2026,Oman,oman,512,low-growth-constrictive,Low-growth / constrictive,0.783,24.05,73.22,2.74,High income,HIC,OMN,2.205,1.098,59.08,24.11,male-working-age-surplus; cohort-notch; working-age-bulge,Working-age male surplus; Cohort notch; Working-age bulge,15-19 (0.75),,5671459,/population-pyramids/2026/low-growth-constrictive/oman.png,https://www.populationpyramid.net/oman/2026/,https://www.populationpyramid.net/api/pp/512/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Foman%2F2026%2F%3Fshare%3Dtrue
2026,Pakistan,pakistan,586,high-growth-pyramid,High-growth pyramid,1.932,35.79,59.77,4.44,Lower middle income,LMC,PAK,1.036,1.177,40.09,28.19,youth-bulge,Youth bulge,,,259299792,/population-pyramids/2026/high-growth-pyramid/pakistan.png,https://www.populationpyramid.net/pakistan/2026/,https://www.populationpyramid.net/api/pp/586/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fpakistan%2F2026%2F%3Fshare%3Dtrue
2026,Panama,panama,591,high-growth-pyramid,High-growth pyramid,1.157,24.15,65.88,9.98,High income,HIC,PAN,1.019,1.211,42.61,23.5,,,,,4625718,/population-pyramids/2026/high-growth-pyramid/panama.png,https://www.populationpyramid.net/panama/2026/,https://www.populationpyramid.net/api/pp/591/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fpanama%2F2026%2F%3Fshare%3Dtrue
2026,Papua New Guinea,papua-new-guinea,598,high-growth-pyramid,High-growth pyramid,1.596,32.8,63.48,3.72,Lower middle income,LMC,PNG,1.043,0.968,43.39,27.35,world-bank-fcv-fy2027,World Bank Public FCV list (FY2027),,,10947848,/population-pyramids/2026/high-growth-pyramid/papua-new-guinea.png,https://www.populationpyramid.net/papua-new-guinea/2026/,https://www.populationpyramid.net/api/pp/598/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fpapua-new-guinea%2F2026%2F%3Fshare%3Dtrue
